UID,Chemical,Scientist,Exp No.,Plate No. Pos,Time,Temperature,Date made,Formulas,Final Comps Tom,Code Output
14,NaFe1/3Mn1/3Ni1/3O2,FT,1,1.4,12,950,07/11/2024,"{'Na': 1, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:1;Mn:3:0.333;Ni:4:0.333;O:-2:2;Fe:2:0.33;Fe:3:0.003;FinalChargeBalance:0,Na:1:1;Fe:2:0.333;Mn:3:0.333;O:-2:2.0;Ni:4:0.333;FinalChargeBalance:-0.001
15,NaCu0.25Fe0.25Mn0.25Ni0.25O2,FT,1,2.12,12,950,07/11/2024,"{'Na': 1, 'Cu': 0.25, 'Fe': 0.25, 'Mn': 0.25, 'Ni': 0.25, 'O': 2.0}",Na:1:1;Cu:2:0.25;Mn:3:0.25;Ni:4:0.25;O:-2:2;Fe:3:0.25;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
16,Na0.75CuO2,FT,1,5.1,12,950,08/11/2024,"{'Na': 0.75, 'Cu': 1, 'O': 2.0}",Na:1:0.75;Cu:2:1;O:-2:2;FinalChargeBalance:-1.25,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
17,Na0.75FeO2,FT,1,5.2,12,950,08/11/2024,"{'Na': 0.75, 'Fe': 1, 'O': 2.0}",Na:1:0.75;Fe:3:1;O:-2:2;FinalChargeBalance:-0.25,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
18,Na0.75MnO2,FT,1,5.3,12,950,08/11/2024,"{'Na': 0.75, 'Mn': 1, 'O': 2.0}",Na:1:0.75;O:-2:2;Mn:3:0.75;Mn:4:0.25;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;Mn:3:0.75;Mn:4:0.25;FinalChargeBalance:0.0
19,Na0.75NiO2,FT,1,5.4,12,950,08/11/2024,"{'Na': 0.75, 'Ni': 1, 'O': 2.0}",Na:1:0.75;O:-2:2;Ni:2:0.375;Ni:4:0.625;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;Ni:2:0.375;Ni:4:0.625;FinalChargeBalance:0.0
20,Na0.75Cu0.5Fe0.5O2,FT,1,5.5,12,950,08/11/2024,"{'Na': 0.75, 'Cu': 0.5, 'Fe': 0.5, 'O': 2.0}",Na:1:0.75;Cu:2:0.5;Fe:3:0.5;O:-2:2;FinalChargeBalance:-0.75,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
21,Na0.75Cu0.5Mn0.5O2,FT,1,5.6,12,950,08/11/2024,"{'Na': 0.75, 'Cu': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:0.75;Cu:2:0.5;O:-2:2;Mn:4:0.417;Mn:7:0.083;FinalChargeBalance:-0.001,Na:1:0.75;O:-2:2.0;Mn:4:0.083;Mn:7:0.417;FinalChargeBalance:0.001
22,Na0.75Cu0.5Ni0.5O2,FT,1,5.7,12,950,08/11/2024,"{'Na': 0.75, 'Cu': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.75;Cu:2:0.5;Ni:4:0.5;O:-2:2;FinalChargeBalance:-0.25,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
23,Na0.75Fe0.5Mn0.5O2,FT,1,5.8,12,950,08/11/2024,"{'Na': 0.75, 'Fe': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:0.75;Fe:3:0.5;O:-2:2;Mn:3:0.25;Mn:4:0.25;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;Mn:4:0.083;Mn:7:0.417;FinalChargeBalance:0.001
24,Na0.75Fe0.5Ni0.5O2,FT,1,5.9,12,950,08/11/2024,"{'Na': 0.75, 'Fe': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.75;Ni:4:0.5;O:-2:2;Fe:2:0.25;Fe:3:0.25;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
25,Na0.75Mn0.5Ni0.5O2,FT,1,5.1,12,950,08/11/2024,"{'Na': 0.75, 'Mn': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.75;Mn:3:0.5;O:-2:2;Ni:2:0.125;Ni:4:0.375;FinalChargeBalance:0,Na:1:0.75;Mn:3:0.5;O:-2:2.0;Ni:2:0.125;Ni:4:0.375;FinalChargeBalance:0.0
26,Na0.75Cu0.3Fe0.3Mn0.3O2,FT,1,4.1,12,950,08/11/2024,"{'Na': 0.75, 'Cu': 0.3, 'Fe': 0.3, 'Mn': 0.3, 'O': 2.0}",Na:1:0.75;Cu:2:0.3;Fe:3:0.3;O:-2:2;Mn:4:0.117;Mn:7:0.183;FinalChargeBalance:-0.001,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
27,Na0.75Cu0.3Fe0.3Ni0.3O2,FT,1,4.2,12,950,08/11/2024,"{'Na': 0.75, 'Cu': 0.3, 'Fe': 0.3, 'Ni': 0.3, 'O': 2.0}",Na:1:0.75;Cu:2:0.3;Fe:3:0.3;Ni:4:0.3;O:-2:2;FinalChargeBalance:-0.55,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
28,Na0.75Cu0.3Mn0.3Ni0.3O2,FT,1,4.3,12,950,08/11/2024,"{'Na': 0.75, 'Cu': 0.3, 'Mn': 0.3, 'Ni': 0.3, 'O': 2.0}",Na:1:0.75;Cu:2:0.3;Ni:4:0.3;O:-2:2;Mn:4:0.217;Mn:7:0.083;FinalChargeBalance:-0.001,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
29,Na0.75Fe0.3Mn0.3Ni0.3O2,FT,1,4.4,12,950,08/11/2024,"{'Na': 0.75, 'Fe': 0.3, 'Mn': 0.3, 'Ni': 0.3, 'O': 2.0}",Na:1:0.75;Fe:3:0.3;Ni:4:0.3;O:-2:2;Mn:3:0.05;Mn:4:0.25;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
30,Na0.75Cu0.25Fe0.25Mn0.25Ni0.25O2,FT,1,5.12,12,950,08/11/2024,"{'Na': 0.75, 'Cu': 0.25, 'Fe': 0.25, 'Mn': 0.25, 'Ni': 0.25, 'O': 2.0}",Na:1:0.75;Cu:2:0.25;Fe:3:0.25;Ni:4:0.25;O:-2:2;Mn:4:0.25;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
31,Na0.5CuO2,FT,1,8.1,12,950,11/11/2024,"{'Na': 0.5, 'Cu': 1, 'O': 2.0}",Na:1:0.5;Cu:2:1;O:-2:2;FinalChargeBalance:-1.5,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
32,Na0.5FeO2,FT,1,8.2,12,950,11/11/2024,"{'Na': 0.5, 'Fe': 1, 'O': 2.0}",Na:1:0.5;Fe:3:1;O:-2:2;FinalChargeBalance:-0.5,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
33,Na0.5MnO2,FT,1,8.3,12,950,11/11/2024,"{'Na': 0.5, 'Mn': 1, 'O': 2.0}",Na:1:0.5;O:-2:2;Mn:3:0.5;Mn:4:0.5;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;Mn:3:0.5;Mn:4:0.5;FinalChargeBalance:0.0
34,Na0.5NiO2,FT,1,8.4,12,950,11/11/2024,"{'Na': 0.5, 'Ni': 1, 'O': 2.0}",Na:1:0.5;O:-2:2;Ni:2:0.25;Ni:4:0.75;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;Ni:2:0.25;Ni:4:0.75;FinalChargeBalance:0.0
35,Na0.5Cu0.5Fe0.5O2,FT,1,8.5,12,950,11/11/2024,"{'Na': 0.5, 'Cu': 0.5, 'Fe': 0.5, 'O': 2.0}",Na:1:0.5;Cu:2:0.5;Fe:3:0.5;O:-2:2;FinalChargeBalance:-1,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
36,Na0.5Cu0.5Mn0.5O2,FT,1,8.6,12,950,11/11/2024,"{'Na': 0.5, 'Cu': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:0.5;Cu:2:0.5;O:-2:2;Mn:4:0.333;Mn:7:0.167;FinalChargeBalance:0.001,Na:1:0.5;O:-2:2.0;Mn:7:0.5;FinalChargeBalance:0.0
37,Na0.5Cu0.5Ni0.5O2,FT,1,8.7,12,950,11/11/2024,"{'Na': 0.5, 'Cu': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.5;Cu:2:0.5;Ni:4:0.5;O:-2:2;FinalChargeBalance:-0.5,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
38,Na0.5Fe0.5Mn0.5O2,FT,1,8.8,12,950,11/11/2024,"{'Na': 0.5, 'Fe': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:0.5;Fe:3:0.5;O:-2:2;Mn:4:0.5;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;Mn:7:0.5;FinalChargeBalance:0.0
39,Na0.5Fe0.5Ni0.5O2,FT,1,8.9,12,950,11/11/2024,"{'Na': 0.5, 'Fe': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.5;Ni:4:0.5;O:-2:2;Fe:3:0.5;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
40,Na0.5Mn0.5Ni0.5O2,FT,1,8.1,12,950,11/11/2024,"{'Na': 0.5, 'Mn': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.5;Mn:3:0.5;O:-2:2;Ni:4:0.5;FinalChargeBalance:0,Na:1:0.5;Mn:3:0.5;O:-2:2.0;Ni:4:0.5;FinalChargeBalance:0.0
41,Na0.5Cu1/3Fe1/3Mn1/3O2,FT,1,7.1,12,950,11/11/2024,"{'Na': 0.5, 'Cu': 0.3333333333333333, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'O': 2.0}",Na:1:0.5;Cu:2:0.333;Fe:3:0.333;O:-2:2;Mn:4:0.165;Mn:7:0.168;FinalChargeBalance:0.001,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
42,Na0.5Cu1/3Fe1/3Ni1/3O2,FT,1,7.2,12,950,11/11/2024,"{'Na': 0.5, 'Cu': 0.3333333333333333, 'Fe': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:0.5;Cu:2:0.333;Fe:3:0.333;Ni:4:0.333;O:-2:2;FinalChargeBalance:-0.503,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
43,Na0.5Cu1/3Mn1/3Ni1/3O2,FT,1,7.3,12,950,11/11/2024,"{'Na': 0.5, 'Cu': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:0.5;Cu:2:0.333;Ni:4:0.333;O:-2:2;Mn:4:0.276;Mn:7:0.057;FinalChargeBalance:0.001,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
44,Na0.5Fe1/3Mn1/3Ni1/3O2,FT,1,7.4,12,950,11/11/2024,"{'Na': 0.5, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:0.5;Fe:3:0.333;Ni:4:0.333;O:-2:2;Mn:3:0.163;Mn:4:0.17;FinalChargeBalance:0,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
45,Na0.5Cu0.25Fe0.25Mn0.25Ni0.25O2,FT,1,8.12,12,950,11/11/2024,"{'Na': 0.5, 'Cu': 0.25, 'Fe': 0.25, 'Mn': 0.25, 'Ni': 0.25, 'O': 2.0}",Na:1:0.5;Cu:2:0.25;Fe:3:0.25;Ni:4:0.25;O:-2:2;Mn:4:0.167;Mn:7:0.083;FinalChargeBalance:-0.001,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
46,NaCuO2,FT,2,2.1,6,950,12/11/2024,"{'Na': 1, 'Cu': 1, 'O': 2.0}",Na:1:1;Cu:2:1;O:-2:2;FinalChargeBalance:-1,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
47,NaFeO2,FT,2,2.2,6,950,12/11/2024,"{'Na': 1, 'Fe': 1, 'O': 2.0}",Na:1:1;O:-2:2;Fe:3:1;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Fe:3:1.0;FinalChargeBalance:0.0
48,NaMnO2,FT,2,2.3,6,950,12/11/2024,"{'Na': 1, 'Mn': 1, 'O': 2.0}",Na:1:1;O:-2:2;Mn:3:1;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Mn:3:1.0;FinalChargeBalance:0.0
49,NaNiO2,FT,2,2.4,6,950,12/11/2024,"{'Na': 1, 'Ni': 1, 'O': 2.0}",Na:1:1;O:-2:2;Ni:2:0.5;Ni:4:0.5;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Ni:2:0.5;Ni:4:0.5;FinalChargeBalance:0.0
50,NaCu0.5Fe0.5O2,FT,2,2.5,6,950,12/11/2024,"{'Na': 1, 'Cu': 0.5, 'Fe': 0.5, 'O': 2.0}",Na:1:1;Cu:2:0.5;Fe:3:0.5;O:-2:2;FinalChargeBalance:-0.5,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
51,NaCu0.5Mn0.5O2,FT,2,2.6,6,950,12/11/2024,"{'Na': 1, 'Cu': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:1;Cu:2:0.5;O:-2:2;Mn:4:0.5;FinalChargeBalance:0,Na:1:1;O:-2:2.0;Mn:4:0.167;Mn:7:0.333;FinalChargeBalance:-0.001
52,NaCu0.5Ni0.5O2,FT,2,2.7,6,950,12/11/2024,"{'Na': 1, 'Cu': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:1;Ni:4:0.5;O:-2:2;Cu:2:0.5;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
53,NaFe0.5Mn0.5O2,FT,2,2.8,6,950,12/11/2024,"{'Na': 1, 'Fe': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:1;Mn:3:0.5;O:-2:2;Fe:3:0.5;FinalChargeBalance:0,Na:1:1;Mn:3:0.5;O:-2:2.0;Fe:3:0.5;FinalChargeBalance:0.0
54,NaFe0.5Ni0.5O2,FT,2,2.9,6,950,12/11/2024,"{'Na': 1, 'Fe': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:1;Fe:2:0.5;O:-2:2;Ni:4:0.5;FinalChargeBalance:0,Na:1:1;Fe:2:0.5;O:-2:2.0;Ni:4:0.5;FinalChargeBalance:0.0
55,NaMn0.5Ni0.5O2,FT,2,2.1,6,950,12/11/2024,"{'Na': 1, 'Mn': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:1;Mn:3:0.5;O:-2:2;Ni:2:0.25;Ni:4:0.25;FinalChargeBalance:0,Na:1:1;Mn:3:0.5;O:-2:2.0;Ni:2:0.25;Ni:4:0.25;FinalChargeBalance:0.0
56,NaCu1/3Fe1/3Mn1/3O2,FT,2,1.1,6,950,12/11/2024,"{'Na': 1, 'Cu': 0.3333333333333333, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'O': 2.0}",Na:1:1;Cu:2:0.333;Fe:3:0.333;O:-2:2;Mn:4:0.332;Mn:7:0.001;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
57,NaCu1/3Fe1/3Ni1/3O2,FT,2,1.2,6,950,12/11/2024,"{'Na': 1, 'Cu': 0.3333333333333333, 'Fe': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:1;Cu:2:0.333;Fe:3:0.333;Ni:4:0.333;O:-2:2;FinalChargeBalance:-0.003,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
58,NaCu1/3Mn1/3Ni1/3O2,FT,2,1.3,6,950,12/11/2024,"{'Na': 1, 'Cu': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:1;Cu:2:0.333;Ni:4:0.333;O:-2:2;Mn:3:0.33;Mn:4:0.003;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
59,NaFe1/3Mn1/3Ni1/3O2,FT,2,1.4,6,950,12/11/2024,"{'Na': 1, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:1;Mn:3:0.333;Ni:4:0.333;O:-2:2;Fe:2:0.33;Fe:3:0.003;FinalChargeBalance:0,Na:1:1;Fe:2:0.333;Mn:3:0.333;O:-2:2.0;Ni:4:0.333;FinalChargeBalance:-0.001
60,NaCu0.25Fe0.25Mn0.25Ni0.25O2,FT,2,2.12,6,950,12/11/2024,"{'Na': 1, 'Cu': 0.25, 'Fe': 0.25, 'Mn': 0.25, 'Ni': 0.25, 'O': 2.0}",Na:1:1;Cu:2:0.25;Mn:3:0.25;Ni:4:0.25;O:-2:2;Fe:3:0.25;FinalChargeBalance:0,Na:1:1;O:-2:2.0;FinalChargeBalance:-3.0
61,Na0.75CuO2,FT,2,5.1,6,950,13/11/2024,"{'Na': 0.75, 'Cu': 1, 'O': 2.0}",Na:1:0.75;Cu:2:1;O:-2:2;FinalChargeBalance:-1.25,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
62,Na0.75FeO2,FT,2,5.2,6,950,13/11/2024,"{'Na': 0.75, 'Fe': 1, 'O': 2.0}",Na:1:0.75;Fe:3:1;O:-2:2;FinalChargeBalance:-0.25,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
63,Na0.75MnO2,FT,2,5.3,6,950,13/11/2024,"{'Na': 0.75, 'Mn': 1, 'O': 2.0}",Na:1:0.75;O:-2:2;Mn:3:0.75;Mn:4:0.25;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;Mn:3:0.75;Mn:4:0.25;FinalChargeBalance:0.0
64,Na0.75NiO2,FT,2,5.4,6,950,13/11/2024,"{'Na': 0.75, 'Ni': 1, 'O': 2.0}",Na:1:0.75;O:-2:2;Ni:2:0.375;Ni:4:0.625;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;Ni:2:0.375;Ni:4:0.625;FinalChargeBalance:0.0
65,Na0.75Cu0.5Fe0.5O2,FT,2,5.5,6,950,13/11/2024,"{'Na': 0.75, 'Cu': 0.5, 'Fe': 0.5, 'O': 2.0}",Na:1:0.75;Cu:2:0.5;Fe:3:0.5;O:-2:2;FinalChargeBalance:-0.75,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
66,Na0.75Cu0.5Mn0.5O2,FT,2,5.6,6,950,13/11/2024,"{'Na': 0.75, 'Cu': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:0.75;Cu:2:0.5;O:-2:2;Mn:4:0.417;Mn:7:0.083;FinalChargeBalance:-0.001,Na:1:0.75;O:-2:2.0;Mn:4:0.083;Mn:7:0.417;FinalChargeBalance:0.001
67,Na0.75Cu0.5Ni0.5O2,FT,2,5.7,6,950,13/11/2024,"{'Na': 0.75, 'Cu': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.75;Cu:2:0.5;Ni:4:0.5;O:-2:2;FinalChargeBalance:-0.25,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
68,Na0.75Fe0.5Mn0.5O2,FT,2,5.8,6,950,13/11/2024,"{'Na': 0.75, 'Fe': 0.5, 'Mn': 0.5, 'O': 2.0}",Na:1:0.75;Fe:3:0.5;O:-2:2;Mn:3:0.25;Mn:4:0.25;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;Mn:4:0.083;Mn:7:0.417;FinalChargeBalance:0.001
69,Na0.75Fe0.5Ni0.5O2,FT,2,5.9,6,950,13/11/2024,"{'Na': 0.75, 'Fe': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.75;Ni:4:0.5;O:-2:2;Fe:2:0.25;Fe:3:0.25;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
70,Na0.75Mn0.5Ni0.5O2,FT,2,5.1,6,950,13/11/2024,"{'Na': 0.75, 'Mn': 0.5, 'Ni': 0.5, 'O': 2.0}",Na:1:0.75;Mn:3:0.5;O:-2:2;Ni:2:0.125;Ni:4:0.375;FinalChargeBalance:0,Na:1:0.75;Mn:3:0.5;O:-2:2.0;Ni:2:0.125;Ni:4:0.375;FinalChargeBalance:0.0
71,Na0.75Cu1/3Fe1/3Mn1/3O2,FT,2,4.1,6,950,13/11/2024,"{'Na': 0.75, 'Cu': 0.3333333333333333, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'O': 2.0}",Na:1:0.75;Cu:2:0.333;Fe:3:0.333;O:-2:2;Mn:4:0.249;Mn:7:0.084;FinalChargeBalance:-0.001,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
72,Na0.75Cu1/3Fe1/3Ni1/3O2,FT,2,4.2,6,950,13/11/2024,"{'Na': 0.75, 'Cu': 0.3333333333333333, 'Fe': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:0.75;Cu:2:0.333;Fe:3:0.333;Ni:4:0.333;O:-2:2;FinalChargeBalance:-0.253,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
73,Na0.75Cu1/3Mn1/3Ni1/3O2,FT,2,4.3,6,950,13/11/2024,"{'Na': 0.75, 'Cu': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:0.75;Cu:2:0.333;Ni:4:0.333;O:-2:2;Mn:3:0.08;Mn:4:0.253;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
74,Na0.75Fe1/3Mn1/3Ni1/3O2,FT,2,4.4,6,950,13/11/2024,"{'Na': 0.75, 'Fe': 0.3333333333333333, 'Mn': 0.3333333333333333, 'Ni': 0.3333333333333333, 'O': 2.0}",Na:1:0.75;Mn:3:0.333;Ni:4:0.333;O:-2:2;Fe:2:0.08;Fe:3:0.253;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
75,Na0.75Cu0.25Fe0.25Mn0.25Ni0.25O2,FT,2,5.12,6,950,13/11/2024,"{'Na': 0.75, 'Cu': 0.25, 'Fe': 0.25, 'Mn': 0.25, 'Ni': 0.25, 'O': 2.0}",Na:1:0.75;Cu:2:0.25;Fe:3:0.25;Ni:4:0.25;O:-2:2;Mn:4:0.25;FinalChargeBalance:0,Na:1:0.75;O:-2:2.0;FinalChargeBalance:-3.25
76,Na0.5CuO2,FT,2,8.1,6,950,14/11/2024,"{'Na': 0.5, 'Cu': 1, 'O': 2.0}",Na:1:0.5;Cu:2:1;O:-2:2;FinalChargeBalance:-1.5,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
77,Na0.5FeO2,FT,2,8.2,6,950,14/11/2024,"{'Na': 0.5, 'Fe': 1, 'O': 2.0}",Na:1:0.5;Fe:3:1;O:-2:2;FinalChargeBalance:-0.5,Na:1:0.5;O:-2:2.0;FinalChargeBalance:-3.5
